Participant Private ID,Article_ID,Question_ID,Summary_Text
14561944,Migration,Q1,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q2,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q3,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q4,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q5,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q6,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q7,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q8,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q9,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Migration,Q10,"First introduces the concept of migration and how widely observed it is, while also mentioning how there are several biological mechanisms behind it. Second paragraph focuses on one factor: seasonal weather."
14561944,Reggaeton,Q1,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q2,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q3,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q4,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q5,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q6,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q7,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q8,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q9,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Reggaeton,Q10,"As the title suggests, the passage goes over the history of reggaeton, its roots from Jamaican reggae music and interested Panamanians, its soldification from the song ""Dem Bow"", and it widespread growth despite its almost predictable music features and other criticism aimed towards it."
14561944,Star,Q1,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q2,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q3,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q4,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q5,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q6,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q7,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q8,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q9,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Star,Q10,"We are told of the evolution of a star and its death stagesfrom expanding into a red giant, giving rise to a planetary nebula, and then dropping in the density to leave behind its stellar core which is a white dwarf. We are told a few more details before being given the reason for our knowledge on white dwarves- FG Sagittae who is in that state and has been observed for 20 years."
14561944,Depression,Q1,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q2,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q3,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q4,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q5,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q6,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q7,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q8,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q9,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Depression,Q10,"Talks about the creation of the CCC, how it was only supposed to last 2 years yet gained traction and did a lot of good not just for the American people/environment but also for the veterans and other young men who joined after seeing how they could make an impact for a country whose leader cared for them."
14561944,Charities,Q1,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q2,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q3,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q4,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q5,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q6,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q7,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q8,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q9,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14561944,Charities,Q10,Starts off talking about charities and how initially religious groups were kind of defined by their charity or at least the driving force behind them and have a very specific type of charity available. Then goes on to talk about the different forms of charity and whatnot.
14582817,Charities,Q1,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q2,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q3,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q4,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q5,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q6,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q7,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q8,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q9,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Charities,Q10,"In the article, ""When Charities Need help"", Ellen Wurtner discusses how charitable has different reasonings behind donating and how philanthropists can inspire to increase charity with different approaches. There are many ways to give back in charity, such in religious institutions that are seen to be more of moral reasons driving this behavior. While they may help more to temporary needs, other might argue how charities can build more commitment to help other problem happening around world. Besides how one might give charity, it is also how charity is exposed to people, and how they respond such as using authority or drop boxes. Additionally, decision making is an important aspect to allow people choose what they want to truly donate to. Its important for others who can donate, can do it in a manner that works best for them"
14582817,Depression,Q1,"In 1933, President Roosevelt, had motives to develop federal public lands and use unemployed men to be able to work in project. The president made an agency called the Civilian Conservation Corps (CCC), and was able to enlist men 17 to 27 to help with the projects. The men who volunteered, were paid monthly, provided food, and housing. Moreover, men could only serve nine months to allows others to have an opportunity to join as well. This program made great progress in being able to work on natural forests, telephone lines, trees, roads, and more. Not only did this benefit the country, but also the men working as they were able to work, obtain diplomas, and learn more."
14582817,Depression,Q2,"In 1933, President Roosevelt, had motives to develop federal public lands and use unemployed men to be able to work in project. The president made an agency called the Civilian Conservation Corps (CCC), and was able to enlist men 17 to 27 to help with the projects. The men who volunteered, were paid monthly, provided food, and housing. Moreover, men could only serve nine months to allows others to have an opportunity to join as well. This program made great progress in being able to work on natural forests, telephone lines, trees, roads, and more. Not only did this benefit the country, but also the men working as they were able to work, obtain diplomas, and learn more."
14582817,Depression,Q3,"In 1933, President Roosevelt, had motives to develop federal public lands and use unemployed men to be able to work in project. The president made an agency called the Civilian Conservation Corps (CCC), and was able to enlist men 17 to 27 to help with the projects. The men who volunteered, were paid monthly, provided food, and housing. Moreover, men could only serve nine months to allows others to have an opportunity to join as well. This program made great progress in being able to work on natural forests, telephone lines, trees, roads, and more. Not only did this benefit the country, but also the men working as they were able to work, obtain diplomas, and learn more."
14582817,Depression,Q4,"In 1933, President Roosevelt, had motives to develop federal public lands and use unemployed men to be able to work in project. The president made an agency called the Civilian Conservation Corps (CCC), and was able to enlist men 17 to 27 to help with the projects. The men who volunteered, were paid monthly, provided food, and housing. Moreover, men could only serve nine months to allows others to have an opportunity to join as well. This program made great progress in being able to work on natural forests, telephone lines, trees, roads, and more. Not only did this benefit the country, but also the men working as they were able to work, obtain diplomas, and learn more."
