Participant Private ID,Condition,Article_ID,Question_ID,Accuracy,Given_Answer,Metacomprehension,Summary_Text,AI_Feedback
14569745,Control,Charities,Q1,1,C,6,NA,NA
14569745,Control,Charities,Q2,0,C,6,NA,NA
14569745,Control,Charities,Q3,0,C,6,NA,NA
14569745,Control,Charities,Q4,1,B,6,NA,NA
14569745,Control,Charities,Q5,0,B,6,NA,NA
14569745,Control,Charities,Q6,0,D,6,NA,NA
14569745,Control,Charities,Q7,1,B,6,NA,NA
14569745,Control,Charities,Q8,0,C,6,NA,NA
14569745,Control,Charities,Q9,1,D,6,NA,NA
14569745,Control,Charities,Q10,1,B,6,NA,NA
14569745,Control,Reggaeton,Q1,0,D,5,NA,NA
14569745,Control,Reggaeton,Q2,0,B,5,NA,NA
14569745,Control,Reggaeton,Q3,0,A,5,NA,NA
14569745,Control,Reggaeton,Q4,0,B,5,NA,NA
14569745,Control,Reggaeton,Q5,1,C,5,NA,NA
14569745,Control,Reggaeton,Q6,1,D,5,NA,NA
14569745,Control,Reggaeton,Q7,0,B,5,NA,NA
14569745,Control,Reggaeton,Q8,0,B,5,NA,NA
14569745,Control,Reggaeton,Q9,0,C,5,NA,NA
14569745,Control,Reggaeton,Q10,0,A,5,NA,NA
14569745,Control,Depression,Q1,0,C,5,NA,NA
14569745,Control,Depression,Q2,1,A,5,NA,NA
14569745,Control,Depression,Q3,1,C,5,NA,NA
14569745,Control,Depression,Q4,0,C,5,NA,NA
14569745,Control,Depression,Q5,1,A,5,NA,NA
14569745,Control,Depression,Q6,1,B,5,NA,NA
14569745,Control,Depression,Q7,0,D,5,NA,NA
14569745,Control,Depression,Q8,0,C,5,NA,NA
14569745,Control,Depression,Q9,0,A,5,NA,NA
14569745,Control,Depression,Q10,0,D,5,NA,NA
14569745,Control,Star,Q1,0,A,4,NA,NA
14569745,Control,Star,Q2,0,D,4,NA,NA
14569745,Control,Star,Q3,0,C,4,NA,NA
14569745,Control,Star,Q4,1,B,4,NA,NA
14569745,Control,Star,Q5,0,D,4,NA,NA
14569745,Control,Star,Q6,1,D,4,NA,NA
14569745,Control,Star,Q7,1,B,4,NA,NA
14569745,Control,Star,Q8,1,C,4,NA,NA
14569745,Control,Star,Q9,0,B,4,NA,NA
14569745,Control,Star,Q10,1,C,4,NA,NA
14569745,Control,Migration,Q1,1,C,4,NA,NA
14569745,Control,Migration,Q2,1,A,4,NA,NA
14569745,Control,Migration,Q3,0,C,4,NA,NA
14569745,Control,Migration,Q4,0,A,4,NA,NA
14569745,Control,Migration,Q5,1,C,4,NA,NA
14569745,Control,Migration,Q6,0,B,4,NA,NA
